"OBJECTID_G"|"LINKVALUE_G"|"SPRID_G"|"NORMALSTATE_G"|"REALSTATE_G"
18560174|"2499-13"|1163|"15"|"15"
17797445|"78252-9"|1163|"15"|"15"
24158784|"12350-9"|1159|"15"|"15"
68906502|"77703-3"|1163|"15"|"15"
55199192|"5558-9"|1159|"15"|"15"
90200371|"81014-3"|1163|"0 "|"0 "
75306742|"52478-1"|1159|"15"|"15"
73589164|"53134-2"|1202|"15"|"15"
17519437|"14210-1"|1163|"0 "|"0 "
17492737|"12133-1"|1159|"15"|"15"
87344926|"33400-9"|1455|"15"|"0 "
17713601|"5280-1"|1159|"15"|"15"
90039837|"38434-3"|1163|"15"|"15"
31845286|"78097-1"|1163|"15"|"15"
42760920|"8015-5"|1197|"15"|"15"
69583031|"5029-19"|1455|"15"|"0 "
54498019|"77354-19"|1163|"15"|"15"
83555431|"40781-1"|1163|"15"|"15"
37974877|"78503-5"|1163|"15"|"15"
54623049|"M33408-1"|1163|"0 "|"0 "
17754475|"7191-1"|1159|"15"|"15"
17524805|"14371-9"|1159|"15"|"15"
17705637|"52470-1"|1159|"15"|"15"
81348983|"54049-9"|1159|"15"|"15"
17845775|"9064-9"|1159|"15"|"0 "
84787471|"1493-9"|1159|"15"|"15"
17545169|"16445-9"|1159|"15"|"0 "
49592534|"33555-9"|1455|"15"|"15"
18097128|"2272-5"|1163|"15"|"15"
17824469|"82220-1"|1163|"15"|"0 "
82308486|"34040-3"|1163|"15"|"15"
81696517|"16719-3"|1167|"15"|"15"
84848449|"34111-19"|1163|"15"|"15"
81348948|"54051-9"|1159|"15"|"15"
26654836|"53094-9"|1159|"15"|"15"
68618973|"8015-15"|1455|"15"|"15"
23281849|"77703-9"|1163|"15"|"15"
18594156|"14344-1"|1163|"15"|"15"
24432218|"33168-5"|1163|"15"|"15"
84229165|"9574-9"|1159|"15"|"0 "
51836618|"14208-19"|1163|"15"|"0 "
18594155|"14344-5"|1163|"15"|"15"
17522115|"14284-9"|1159|"15"|"0 "
73609269|"81311-3"|1163|"15"|"15"
18097825|"34041-5"|1163|"15"|"15"
17697997|"52141-1"|1159|"15"|"15"
90582447|"34975-5"|1163|"15"|"15"
18098462|"78097-5"|1163|"15"|"15"
54473104|"78380-3"|1163|"15"|"0 "
57818621|"79183-1"|1163|"15"|"15"
76443724|"RE4832-3"|1163|"15"|"15"
18553284|"51211-3"|1163|"15"|"15"
17518435|"14179-9"|1159|"15"|"0 "
83869054|"5106-6"|1163|"15"|"15"
23328442|"14284-1"|1167|"15"|"15"
17521057|"14252-9"|1159|"15"|"0 "
83869052|"5106-2"|1163|"15"|"0 "
70665466|"RE2264-5"|1163|"15"|"0 "
17782967|"77554-5"|1163|"15"|"15"
68928912|"RE2264-1"|1163|"15"|"0 "
